method,label,method_type,view_index,camera_id,region,region_pixels,valid_points,coverage,xyz_span_x,xyz_span_y,xyz_span_z,xyz_span_norm,z_relief_p95_p5,neighbor_delta_median,neighbor_delta_p95,mean_l2_from_v25_baseline,confidence_mean,normal_available,notes
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,2,06,upper,6435,6435,1.0,0.09758028186857698,0.19420331627130505,0.12310827493667598,0.2497848810841194,0.10246453285217272,0.0017949433531612158,0.004675763193517923,0.0003046244091819972,3.5209600925445557,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,2,06,head_face,387,387,1.0,0.048966361656785,0.053316287100315066,0.024944174289703303,0.0765672441391316,0.02048966884613035,0.002225045347586274,0.005429900251328945,0.0006219885544851422,2.2207577228546143,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,2,06,left_hand,987,987,1.0,0.0764373662788421,0.1651460000872612,0.11130565404891968,0.21331859021596158,0.10220904350280768,0.002629952970892191,0.005177066661417484,0.00022083516523707658,3.273493766784668,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,2,06,right_hand,462,462,1.0,0.04800356548279523,0.057420645654201505,0.08110885143280022,0.11036357472986474,0.06537382602691655,0.00161043053958565,0.005212103947997093,0.0002833850448951125,3.318917989730835,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,3,11,full,12067,12067,1.0,0.06205470219254495,0.3296463567018509,0.23346018314361572,0.4086822282219524,0.1995438158512115,0.0015349381137639284,0.005041958764195442,0.00032066061976365745,2.648773431777954,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,3,11,upper,8573,8573,1.0,0.06453557334840296,0.2143072208762169,0.1679749631881713,0.27983569001319725,0.1388099074363709,0.0015526626957580447,0.005358579568564892,0.0003427454794291407,2.4749155044555664,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,3,11,head_face,4294,4294,1.0,0.05909754734486346,0.1450273828301579,0.16451077580451967,0.22713268639398534,0.13195994794368737,0.0016271411441266537,0.005040584597736597,0.00035634118830785155,2.3653652667999268,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,3,11,left_hand,129,129,1.0,0.02024985416792333,0.0601318046450615,0.022674312591552725,0.06737963323730285,0.02072851657867425,0.0015469344798475504,0.005081981886178255,0.00027248391415923834,2.559704303741455,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,3,11,right_hand,640,640,1.0,0.07117689017206431,0.09664559066295626,0.09943473100662237,0.15586463877197146,0.09155035316944116,0.0026314733549952507,0.007657857146114111,0.0003574327565729618,1.8742523193359375,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,4,16,full,11274,11274,1.0,0.07845547955483198,0.3292573592066765,0.2431544435024261,0.4167610277592035,0.20673094093799593,0.0017511423211544752,0.004742625635117292,0.0002795410400722176,2.2929270267486572,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,4,16,upper,8052,8052,1.0,0.08019647687673569,0.19379259362816809,0.17502107262611388,0.2731655544020302,0.14339311122894283,0.0016580367228016257,0.0049976566806435585,0.00030385475838556886,2.2912328243255615,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
